Time,Open,High,Low,Close,Volume
7/10/2012 2:00:00 AM,1585.61,1585.81,1585.05,1585.35,303
7/10/2012 2:15:00 AM,1585.37,1585.9,1585.22,1585.58,123
7/10/2012 2:30:00 AM,1585.59,1586.51,1585.56,1586.35,234
7/10/2012 2:45:00 AM,1586.36,1586.36,1584.43,1585.07,323
7/10/2012 3:00:00 AM,1585.06,1585.39,1584.61,1585.14,196
7/10/2012 3:15:00 AM,1585.13,1586.2,1584.93,1585.9,164
7/10/2012 3:30:00 AM,1585.87,1586.33,1585.59,1585.81,209
7/10/2012 3:45:00 AM,1585.82,1586.22,1585.72,1586.01,174
7/10/2012 4:00:00 AM,1585.99,1586.05,1585.62,1586.05,122
7/10/2012 4:15:00 AM,1586.04,1586.91,1586,1586.49,258
7/10/2012 4:30:00 AM,1586.43,1586.75,1586.23,1586.62,166
7/10/2012 4:45:00 AM,1586.61,1586.61,1585.13,1585.78,206
7/10/2012 5:00:00 AM,1585.82,1586.34,1584.98,1585.55,197
7/10/2012 5:15:00 AM,1585.53,1585.73,1583.98,1584.73,335
7/10/2012 5:30:00 AM,1584.75,1585.23,1584.18,1585.1,277
7/10/2012 5:45:00 AM,1585.07,1585.87,1584.23,1585.29,356
7/10/2012 6:00:00 AM,1585.24,1585.61,1584.24,1584.53,445
7/10/2012 6:15:00 AM,1584.54,1584.93,1582.66,1583.68,545
7/10/2012 6:30:00 AM,1583.72,1585.32,1583.61,1584.93,392
7/10/2012 6:45:00 AM,1584.88,1585.43,1583.73,1584.28,392
7/10/2012 7:00:00 AM,1584.23,1584.25,1582.82,1584.03,423
7/10/2012 7:15:00 AM,1583.98,1585.59,1583.48,1585.11,349
7/10/2012 7:30:00 AM,1585.18,1588.07,1585.04,1588.07,595
7/10/2012 7:45:00 AM,1588.21,1591.17,1587.65,1589.61,671
7/10/2012 8:00:00 AM,1589.57,1590.13,1589.32,1589.63,406
7/10/2012 8:15:00 AM,1589.72,1590.96,1589.34,1590.39,347
7/10/2012 8:30:00 AM,1590.31,1594.45,1590.3,1593.06,546
7/10/2012 8:45:00 AM,1593.01,1594.88,1592.86,1593.34,455
7/10/2012 9:00:00 AM,1593.36,1593.38,1592.53,1593,258
7/10/2012 9:15:00 AM,1592.98,1593.73,1592.5,1593.04,236
7/10/2012 9:30:00 AM,1593.05,1593.68,1592.46,1593,265
