Time,Open,High,Low,Close,Volume
10/1/2010 12:00:00 AM,1307.46,1308.47,1305.99,1308.13,2477
10/1/2010 3:00:00 AM,1308.03,1310.53,1307.74,1308.68,5114
10/1/2010 7:00:00 AM,1308.79,1316.93,1308.37,1315.77,12682
10/1/2010 11:00:00 AM,1315.76,1318.09,1314.2,1315.86,15505
10/1/2010 3:00:00 PM,1315.93,1320.44,1314.47,1316.49,17191
10/1/2010 7:00:00 PM,1316.43,1319.12,1315.42,1318.72,6518
10/3/2010 11:00:00 PM,1317.99,1319.91,1315.42,1315.93,6166
10/4/2010 3:00:00 AM,1315.98,1318.23,1315.58,1318.03,5738
10/4/2010 7:00:00 AM,1318.04,1319.68,1312.27,1313.67,11911
10/4/2010 11:00:00 AM,1313.7,1317.37,1312.55,1314.65,14663
10/4/2010 3:00:00 PM,1314.53,1315.86,1312.57,1315.62,13604
10/4/2010 7:00:00 PM,1315.73,1316.06,1314.16,1314.95,3639
10/4/2010 11:00:00 PM,1314.85,1315.27,1312.24,1313.61,6667
10/5/2010 3:00:00 AM,1313.6,1318.52,1313.28,1317.95,10130
10/5/2010 7:00:00 AM,1317.92,1327.91,1316.79,1325.26,13246
10/5/2010 11:00:00 AM,1325.24,1331.87,1324.86,1330.22,13845
10/5/2010 3:00:00 PM,1330.16,1340.98,1329.28,1339.94,16617
10/5/2010 7:00:00 PM,1340,1341.4,1339.35,1340.36,6597
10/5/2010 11:00:00 PM,1339.88,1343.99,1338.73,1341.83,6719
10/6/2010 3:00:00 AM,1341.8,1349.6,1341.41,1347.21,7723
10/6/2010 7:00:00 AM,1347.17,1349.45,1344.86,1345.34,13486
10/6/2010 11:00:00 AM,1345.47,1346.96,1342.1,1345.82,19771
10/6/2010 3:00:00 PM,1345.69,1349.15,1344.22,1344.97,17816
10/6/2010 7:00:00 PM,1344.95,1349.01,1344.06,1348.63,6428
10/6/2010 11:00:00 PM,1349.03,1349.05,1344.42,1346.2,5684
10/7/2010 3:00:00 AM,1346.16,1355.43,1345.92,1354.68,10435
10/7/2010 7:00:00 AM,1354.54,1364.55,1351.5,1357.24,15860
10/7/2010 11:00:00 AM,1357.23,1361.18,1341.27,1346.24,18797
10/7/2010 3:00:00 PM,1346.31,1349.32,1325.68,1335.22,23255
10/7/2010 7:00:00 PM,1335.14,1337.37,1333.2,1333.28,7620
10/7/2010 11:00:00 PM,1333.19,1336.51,1327.45,1330.36,9903
10/8/2010 3:00:00 AM,1330.23,1335.06,1329.42,1332.33,8260
10/8/2010 7:00:00 AM,1332.38,1335,1328.62,1329.14,15757
10/8/2010 11:00:00 AM,1329.23,1345.24,1324.97,1341.4,22326
10/8/2010 3:00:00 PM,1341.38,1349.49,1339.32,1342.82,18430
10/8/2010 7:00:00 PM,1342.76,1347.48,1342.3,1347.21,5483
10/10/2010 11:00:00 PM,1348.29,1355.12,1348.11,1352.88,9490
10/11/2010 3:00:00 AM,1352.91,1353.68,1351.65,1352.61,7276
10/11/2010 7:00:00 AM,1352.66,1353.39,1346.35,1348.16,12389
10/11/2010 11:00:00 AM,1348.12,1349.49,1340.13,1346.13,15308
10/11/2010 3:00:00 PM,1346.14,1353.93,1343.97,1353.09,17533
10/11/2010 7:00:00 PM,1353.06,1353.99,1350.48,1353.77,6369
10/11/2010 11:00:00 PM,1352.8,1355.07,1347.25,1347.53,8584
10/12/2010 3:00:00 AM,1347.49,1351.24,1345.86,1346.35,10232
10/12/2010 7:00:00 AM,1346.27,1348.34,1340.53,1344.9,14568
10/12/2010 11:00:00 AM,1345.03,1352.27,1341.43,1347.14,17779
10/12/2010 3:00:00 PM,1347.11,1349.73,1345.3,1347.59,17159
10/12/2010 7:00:00 PM,1347.63,1352.74,1345.62,1350.15,9186
10/12/2010 11:00:00 PM,1350.2,1354.67,1349.02,1354.02,7110
10/13/2010 3:00:00 AM,1354,1358.69,1353.35,1355.63,9616
10/13/2010 7:00:00 AM,1355.59,1360.88,1354.68,1360.12,13933
10/13/2010 11:00:00 AM,1360.17,1361.29,1355.73,1359.4,16042
10/13/2010 3:00:00 PM,1359.42,1373.94,1359.39,1370.76,19719
10/13/2010 7:00:00 PM,1370.74,1372.63,1368.96,1371.87,8732
10/13/2010 11:00:00 PM,1371.15,1378.33,1371.05,1376.37,8663
10/14/2010 3:00:00 AM,1376.39,1380.23,1376.28,1379.08,11667
10/14/2010 7:00:00 AM,1379.05,1387.03,1378.58,1380.32,15341
10/14/2010 11:00:00 AM,1380.3,1382.65,1370.69,1372.38,21337
10/14/2010 3:00:00 PM,1372.33,1378.34,1370.77,1377.97,20890
10/14/2010 7:00:00 PM,1377.96,1381.05,1375.64,1380.83,8759
10/14/2010 11:00:00 PM,1380.55,1382.82,1376.24,1378.62,8504
10/15/2010 3:00:00 AM,1378.64,1381.56,1377.9,1380.73,8236
10/15/2010 7:00:00 AM,1380.85,1381.58,1375.71,1378.17,13182
10/15/2010 11:00:00 AM,1378.18,1385.11,1366.33,1367.56,18618
10/15/2010 3:00:00 PM,1367.68,1375.93,1362.41,1366.94,21502
10/15/2010 7:00:00 PM,1366.92,1370.07,1363.76,1368.17,8812
10/17/2010 11:00:00 PM,1370.4,1370.63,1356.67,1358.8,10649
10/18/2010 3:00:00 AM,1358.84,1361.87,1356.33,1361.09,9319
10/18/2010 7:00:00 AM,1361.11,1363.26,1352.73,1361.28,15643
10/18/2010 11:00:00 AM,1361.25,1367.86,1358.28,1366.15,17645
10/18/2010 3:00:00 PM,1366.16,1372.62,1365.94,1371.2,17850
10/18/2010 7:00:00 PM,1371.21,1374.76,1367.64,1368.2,6435
10/18/2010 11:00:00 PM,1369.38,1370.82,1366.92,1367.58,7784
10/19/2010 3:00:00 AM,1367.59,1369.4,1364.57,1365.22,8124
10/19/2010 7:00:00 AM,1365.24,1370.48,1364.68,1367.78,12820
10/19/2010 11:00:00 AM,1367.83,1369.68,1332.08,1338.94,20539
10/19/2010 3:00:00 PM,1338.95,1346.38,1333.73,1334.53,20945
10/19/2010 7:00:00 PM,1334.54,1334.65,1328.27,1331.68,12297
10/19/2010 11:00:00 PM,1333.95,1337.5,1330.4,1336.03,10098
10/20/2010 3:00:00 AM,1336.05,1341.44,1335.41,1338.12,10598
10/20/2010 7:00:00 AM,1338.11,1342.8,1337.57,1341.12,15351
10/20/2010 11:00:00 AM,1341.19,1342.4,1332.71,1339.17,17690
10/20/2010 3:00:00 PM,1339.21,1346.92,1334.8,1344.83,20462
10/20/2010 7:00:00 PM,1344.88,1346.89,1342.39,1345.93,7968
10/20/2010 11:00:00 PM,1345.34,1349.02,1342.01,1343.05,8998
10/21/2010 3:00:00 AM,1342.97,1345.6,1340.69,1342.22,9647
10/21/2010 7:00:00 AM,1342.24,1347.66,1340.71,1344.97,15051
10/21/2010 11:00:00 AM,1344.98,1347.82,1336.69,1345.01,18560
10/21/2010 3:00:00 PM,1345.03,1346.65,1317.8,1319.07,23661
10/21/2010 7:00:00 PM,1319.09,1326.3,1318.06,1325.39,10354
10/21/2010 11:00:00 PM,1325.51,1327.53,1322.24,1326.18,8690
10/22/2010 3:00:00 AM,1326.21,1328.33,1325.05,1327.79,6948
10/22/2010 7:00:00 AM,1327.72,1327.93,1315.14,1319.51,13530
10/22/2010 11:00:00 AM,1319.52,1328.04,1317.29,1323.38,18572
10/22/2010 3:00:00 PM,1323.4,1325.42,1320.55,1324.79,18921
10/22/2010 7:00:00 PM,1324.84,1328.25,1323.47,1328.18,6401
10/24/2010 11:00:00 PM,1331.57,1338.26,1331.25,1338.22,10068
10/25/2010 3:00:00 AM,1338.2,1342.72,1337.81,1342.21,9327
10/25/2010 7:00:00 AM,1342.22,1349.02,1342.07,1344.85,16559
10/25/2010 11:00:00 AM,1344.83,1346.57,1338.99,1339.79,21098
10/25/2010 3:00:00 PM,1339.83,1339.92,1333.23,1339.06,23423
10/25/2010 7:00:00 PM,1339.04,1342.54,1338.72,1339.64,9291
10/25/2010 11:00:00 PM,1339.2,1343.44,1338.44,1342.37,10460
10/26/2010 3:00:00 AM,1342.38,1342.51,1337.71,1338.27,10673
10/26/2010 7:00:00 AM,1338.23,1339.73,1333.58,1335.57,16360
10/26/2010 11:00:00 AM,1335.54,1337.06,1327.97,1329.56,20819
10/26/2010 3:00:00 PM,1329.55,1341.99,1328.77,1338.3,22129
10/26/2010 7:00:00 PM,1338.32,1340.29,1336.95,1340.21,8106
10/26/2010 11:00:00 PM,1340,1343.4,1338.27,1338.76,11719
10/27/2010 3:00:00 AM,1338.72,1339.79,1333.04,1333.46,12570
10/27/2010 7:00:00 AM,1333.51,1334.08,1326.94,1332.27,18992
10/27/2010 11:00:00 AM,1332.27,1335.07,1325.06,1328.6,21213
10/27/2010 3:00:00 PM,1328.65,1329.12,1319.1,1323.45,24927
10/27/2010 7:00:00 PM,1323.51,1326.28,1322.23,1325.02,9887
10/27/2010 11:00:00 PM,1325.1,1328.87,1324.6,1326.4,9589
10/28/2010 3:00:00 AM,1326.41,1328.83,1325.15,1327.48,9593
10/28/2010 7:00:00 AM,1327.46,1328.14,1322.84,1326.85,16892
10/28/2010 11:00:00 AM,1326.86,1337.07,1325.47,1332.13,20492
10/28/2010 3:00:00 PM,1332.11,1345.4,1329.41,1342.55,24014
10/28/2010 7:00:00 PM,1342.51,1344.1,1340.89,1343.73,7895
10/28/2010 11:00:00 PM,1344.1,1344.41,1338.7,1340.64,8278
10/29/2010 3:00:00 AM,1340.71,1341.72,1339.02,1340.14,7667
