Time,Open,High,Low,Close,Volume
2025-12-08 02:00:00,4196.60,4205.02,4195.30,4201.43,3974
2025-12-08 03:00:00,4201.75,4211.61,4199.39,4210.66,9941
2025-12-08 04:00:00,4210.65,4211.69,4197.50,4201.13,16970
2025-12-08 05:00:00,4201.03,4212.36,4198.52,4208.50,13639
2025-12-08 06:00:00,4208.50,4213.04,4206.68,4210.05,9859
2025-12-08 07:00:00,4210.08,4213.15,4206.96,4208.44,5329
2025-12-08 08:00:00,4208.45,4217.20,4204.56,4217.07,9787
2025-12-08 09:00:00,4217.01,4218.87,4212.17,4216.99,11630
2025-12-08 10:00:00,4217.23,4217.40,4206.34,4206.88,11042
2025-12-08 11:00:00,4206.90,4216.56,4203.13,4209.71,11643
2025-12-08 12:00:00,4209.27,4212.71,4204.25,4208.01,10666
2025-12-08 13:00:00,4208.00,4210.37,4201.12,4203.56,8733
2025-12-08 14:00:00,4203.40,4214.17,4199.66,4208.56,10139
2025-12-08 15:00:00,4208.66,4215.38,4208.49,4213.79,9416
2025-12-08 16:00:00,4213.75,4214.67,4197.90,4201.65,16789
2025-12-08 17:00:00,4201.91,4211.48,4195.63,4196.53,17666
2025-12-08 18:00:00,4196.41,4196.65,4176.44,4182.96,18640
2025-12-08 19:00:00,4182.92,4197.92,4177.10,4191.51,16130
2025-12-08 20:00:00,4191.63,4195.57,4185.52,4194.89,13198
2025-12-08 21:00:00,4195.44,4195.66,4184.36,4187.14,12759
2025-12-08 22:00:00,4186.98,4188.86,4184.15,4187.02,10817
2025-12-08 23:00:00,4187.02,4195.48,4184.95,4191.56,11391
2025-12-09 00:00:00,4191.65,4193.24,4188.28,4190.66,3675
2025-12-09 02:00:00,4191.60,4195.29,4190.67,4194.69,4194
2025-12-09 03:00:00,4194.64,4195.60,4189.94,4190.35,5635
2025-12-09 04:00:00,4190.34,4197.29,4188.80,4196.24,11839
2025-12-09 05:00:00,4196.15,4197.19,4185.97,4189.93,11275
2025-12-09 06:00:00,4189.97,4198.83,4189.93,4194.46,10309
2025-12-09 07:00:00,4194.47,4195.64,4184.64,4186.90,8859
2025-12-09 08:00:00,4186.77,4187.35,4178.11,4179.87,12341
2025-12-09 09:00:00,4179.93,4184.02,4170.02,4182.22,13545
2025-12-09 10:00:00,4182.01,4185.75,4175.95,4182.41,12387
2025-12-09 11:00:00,4182.74,4191.80,4182.73,4191.72,11541
2025-12-09 12:00:00,4191.77,4212.88,4190.86,4203.11,15505
2025-12-09 13:00:00,4203.08,4208.37,4201.30,4203.93,11556
2025-12-09 14:00:00,4204.09,4206.48,4201.20,4203.08,8764
2025-12-09 15:00:00,4203.07,4207.53,4198.53,4204.28,9414
2025-12-09 16:00:00,4204.30,4208.24,4195.70,4201.37,16351
2025-12-09 17:00:00,4201.33,4210.37,4189.52,4204.58,17888
2025-12-09 18:00:00,4204.42,4216.40,4190.02,4212.61,19204
2025-12-09 19:00:00,4213.22,4221.27,4210.18,4212.30,18369
2025-12-09 20:00:00,4212.28,4216.24,4201.61,4203.09,15500
2025-12-09 21:00:00,4202.96,4209.70,4201.35,4209.00,13073
2025-12-09 22:00:00,4208.82,4214.39,4207.16,4212.55,11393
